9639000,301,ENGLISH CORE,049,D1
9639000,002,HINDI ELECTIVE,075,A2
9639000,030,ECONOMICS,052,C1
9639000,054,BUSINESS STUDIES,049,D1
9639000,055,ACCOUNTANCY,052,C2
9639000,500,WORK EXPERIENCE,---,A2
9639000,502,PHY & HEALTH EDUCA,---,A2
9639000,503,GENERAL STUDIES,---,B1
9639000,Additional Subject
9639000,041,MATHEMATICS,043,D1
9639000,"",Result: PASS,"",""
9639001,301,ENGLISH CORE,072,B2
9639001,002,HINDI ELECTIVE,068,B1
9639001,030,ECONOMICS,078,A2
9639001,054,BUSINESS STUDIES,063,C1
9639001,055,ACCOUNTANCY,075,B1
9639001,500,WORK EXPERIENCE,---,A2
9639001,502,PHY & HEALTH EDUCA,---,A2
9639001,503,GENERAL STUDIES,---,B1
9639001,Additional Subject
9639001,041,MATHEMATICS,049,C1
9639001,"",Result: PASS,"",""
9639002,301,ENGLISH CORE,047,D1
9639002,002,HINDI ELECTIVE,068,B1
9639002,030,ECONOMICS,092,A1
9639002,054,BUSINESS STUDIES,068,B2
9639002,055,ACCOUNTANCY,062,B2
9639002,500,WORK EXPERIENCE,---,B1
9639002,502,PHY & HEALTH EDUCA,---,B2
9639002,503,GENERAL STUDIES,---,B2
9639002,Additional Subject
9639002,041,MATHEMATICS,043,D1
9639002,"",Result: PASS,"",""
9639003,301,ENGLISH CORE,061,C1
9639003,002,HINDI ELECTIVE,077,A1
9639003,030,ECONOMICS,057,B2
9639003,054,BUSINESS STUDIES,062,C1
9639003,055,ACCOUNTANCY,055,C2
9639003,500,WORK EXPERIENCE,---,A1
9639003,502,PHY & HEALTH EDUCA,---,A1
9639003,503,GENERAL STUDIES,---,A2
9639003,Additional Subject
9639003,041,MATHEMATICS,033,D2
9639003,"",Result: PASS,"",""
9639004,301,ENGLISH CORE,062,C1
9639004,002,HINDI ELECTIVE,070,A2
9639004,030,ECONOMICS,070,B1
9639004,054,BUSINESS STUDIES,072,B2
9639004,055,ACCOUNTANCY,054,C2
9639004,500,WORK EXPERIENCE,---,A2
9639004,502,PHY & HEALTH EDUCA,---,A2
9639004,503,GENERAL STUDIES,---,B1
9639004,Additional Subject
9639004,041,MATHEMATICS,033,D2
9639004,"",Result: PASS,"",""
9639005,301,ENGLISH CORE,046,D1
9639005,002,HINDI ELECTIVE,057,B2
9639005,030,ECONOMICS,067,B1
9639005,054,BUSINESS STUDIES,053,C2
9639005,055,ACCOUNTANCY,041,D2
9639005,500,WORK EXPERIENCE,---,B1
9639005,502,PHY & HEALTH EDUCA,---,B1
9639005,503,GENERAL STUDIES,---,B2
9639005,Additional Subject
9639005,048,PHYSICAL EDUCATION,070,C1
9639005,"",Result: PASS,"",""
9639006,301,ENGLISH CORE,064,C1
9639006,002,HINDI ELECTIVE,078,A1
9639006,030,ECONOMICS,060,B2
9639006,054,BUSINESS STUDIES,077,B1
9639006,055,ACCOUNTANCY,050,D1
9639006,500,WORK EXPERIENCE,---,B1
9639006,502,PHY & HEALTH EDUCA,---,B2
9639006,503,GENERAL STUDIES,---,B2
9639006,Additional Subject
9639006,041,MATHEMATICS,033,D2
9639006,"",Result: PASS,"",""
9639007,301,ENGLISH CORE,033,D2
9639007,002,HINDI ELECTIVE,065,B1
9639007,030,ECONOMICS,062,B2
9639007,054,BUSINESS STUDIES,056,C2
9639007,055,ACCOUNTANCY,050,D1
9639007,500,WORK EXPERIENCE,---,A1
9639007,502,PHY & HEALTH EDUCA,---,A1
9639007,503,GENERAL STUDIES,---,A2
9639007,Additional Subject
9639007,041,MATHEMATICS,013 F,E
9639007,"",Result: PASS,"",""
9639008,301,ENGLISH CORE,054,C2
9639008,002,HINDI ELECTIVE,063,B1
9639008,030,ECONOMICS,054,B2
9639008,054,BUSINESS STUDIES,068,B2
9639008,055,ACCOUNTANCY,051,C2
9639008,500,WORK EXPERIENCE,---,A2
9639008,502,PHY & HEALTH EDUCA,---,B1
9639008,503,GENERAL STUDIES,---,B1
9639008,Additional Subject
9639008,041,MATHEMATICS,036,D1
9639008,"",Result: PASS,"",""
9639009,301,ENGLISH CORE,068,C1
9639009,002,HINDI ELECTIVE,072,A2
9639009,030,ECONOMICS,052,C1
9639009,054,BUSINESS STUDIES,051,C2
9639009,055,ACCOUNTANCY,050,D1
9639009,500,WORK EXPERIENCE,---,B1
9639009,502,PHY & HEALTH EDUCA,---,B2
9639009,503,GENERAL STUDIES,---,B1
9639009,Additional Subject
9639009,041,MATHEMATICS,033,D2
9639009,"",Result: PASS,"",""
9639010,301,ENGLISH CORE,066,C1
9639010,002,HINDI ELECTIVE,060,B2
9639010,030,ECONOMICS,066,B1
9639010,054,BUSINESS STUDIES,059,C1
9639010,055,ACCOUNTANCY,055,C2
9639010,500,WORK EXPERIENCE,---,A2
9639010,502,PHY & HEALTH EDUCA,---,A2
9639010,503,GENERAL STUDIES,---,A1
9639010,Additional Subject
9639010,041,MATHEMATICS,033,D2
9639010,"",Result: PASS,"",""
9639011,301,ENGLISH CORE,065,C1
9639011,002,HINDI ELECTIVE,068,B1
9639011,030,ECONOMICS,092,A1
9639011,054,BUSINESS STUDIES,070,B2
